date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,0,50,0
24/01/18,0,50,0
25/01/18,0,50,0
26/01/18,0,50,0
29/01/18,0,50,0
30/01/18,0,50,0
31/01/18,0,50,0
01/02/18,0,50,0
02/02/18,40.3,50,0
05/02/18,28.1,50,0
06/02/18,28.1,50,0
07/02/18,28.1,50,0
08/02/18,28.1,50,0
09/02/18,28.1,50,0
12/02/18,28.1,50,0
13/02/18,19.09,50,0
14/02/18,19.09,50,0
15/02/18,19.09,50,0
16/02/18,19.09,50,0
19/02/18,19.09,50,0
20/02/18,19.09,50,0
21/02/18,12.72,50,0
22/02/18,12.72,50,0
23/02/18,12.72,50,0
26/02/18,12.72,50,0
27/02/18,12.72,50,0
28/02/18,12.72,50,0
02/03/18,12.72,50,0
05/03/18,8.16,50,0
06/03/18,8.16,50,0
07/03/18,8.16,50,0
08/03/18,8.16,50,0
09/03/18,8.16,50,0
12/03/18,8.16,50,0
13/03/18,41.13,50,0
14/03/18,41.13,50,0
15/03/18,41.13,50,0
16/03/18,41.13,50,0
19/03/18,41.13,50,0
20/03/18,27.06,50,0
21/03/18,27.06,50,0
22/03/18,47.78,50,0
23/03/18,36.59,50,0
26/03/18,49.36,50,0
27/03/18,49.36,50,0
28/03/18,49.36,50,0
29/03/18,39.44,50,0
30/03/18,39.44,50,0
02/04/18,39.44,50,0
03/04/18,39.44,50,0
04/04/18,39.44,50,0
05/04/18,39.44,50,0
09/04/18,39.44,50,0
10/04/18,39.44,50,0
11/04/18,39.44,50,0
12/04/18,39.44,50,0
17/04/18,39.44,50,0
18/04/18,39.44,50,0
19/04/18,59.33,50,1
20/04/18,59.33,50,1
23/04/18,59.33,50,1
24/04/18,42.07,50,0
25/04/18,42.07,50,0
26/04/18,42.07,50,0
27/04/18,42.07,50,0
30/04/18,58.36,50,1
02/05/18,44.8,50,0
03/05/18,55.85,50,1
04/05/18,55.85,50,1
07/05/18,55.85,50,1
08/05/18,55.85,50,1
09/05/18,55.85,50,1
10/05/18,55.85,50,1
11/05/18,55.85,50,1
14/05/18,55.85,50,1
15/05/18,55.85,50,1
16/05/18,55.85,50,1
17/05/18,55.85,50,1
18/05/18,55.85,50,1
21/05/18,55.85,50,1
22/05/18,55.85,50,1
23/05/18,55.85,50,1
24/05/18,55.85,50,1
25/05/18,55.85,50,1
28/05/18,55.85,50,1
30/05/18,55.85,50,1
31/05/18,55.85,50,1
01/06/18,55.85,50,1
04/06/18,55.85,50,1
05/06/18,55.85,50,1
06/06/18,78.99,50,1
07/06/18,78.99,50,1
08/06/18,78.99,50,1
11/06/18,78.99,50,1
12/06/18,78.99,50,1
13/06/18,78.99,50,1
14/06/18,78.99,50,1
15/06/18,78.99,50,1
18/06/18,40.55,50,0
19/06/18,40.55,50,0
20/06/18,40.55,50,0
21/06/18,40.55,50,0
22/06/18,40.55,50,0
25/06/18,40.55,50,0
26/06/18,40.55,50,0
27/06/18,40.55,50,0
28/06/18,40.55,50,0
29/06/18,40.55,50,0
02/07/18,40.55,50,0
03/07/18,40.55,50,0
04/07/18,40.55,50,0
05/07/18,40.55,50,0
06/07/18,40.55,50,0
09/07/18,40.55,50,0
10/07/18,40.55,50,0
11/07/18,40.55,50,0
12/07/18,40.55,50,0
13/07/18,40.55,50,0
16/07/18,81.08,50,1
17/07/18,81.08,50,1
18/07/18,81.08,50,1
19/07/18,81.08,50,1
20/07/18,81.08,50,1
23/07/18,81.08,50,1
24/07/18,81.08,50,1
25/07/18,81.08,50,1
26/07/18,81.08,50,1
31/07/18,81.08,50,1
01/08/18,81.08,50,1
02/08/18,81.08,50,1
03/08/18,81.08,50,1
06/08/18,81.08,50,1
07/08/18,81.08,50,1
08/08/18,81.08,50,1
09/08/18,81.08,50,1
10/08/18,81.08,50,1
14/08/18,81.08,50,1
15/08/18,81.08,50,1
16/08/18,81.08,50,1
17/08/18,95.53,50,1
20/08/18,95.53,50,1
21/08/18,50.66,50,1
22/08/18,50.66,50,1
23/08/18,50.66,50,1
24/08/18,68.9,50,1
27/08/18,49.28,50,0
28/08/18,49.28,50,0
29/08/18,49.28,50,0
30/08/18,62.59,50,1
31/08/18,62.59,50,1
03/09/18,62.59,50,1
04/09/18,62.59,50,1
05/09/18,62.59,50,1
06/09/18,62.59,50,1
07/09/18,62.59,50,1
10/09/18,62.59,50,1
11/09/18,62.59,50,1
12/09/18,62.59,50,1
13/09/18,62.59,50,1
14/09/18,62.59,50,1
17/09/18,62.59,50,1
18/09/18,62.59,50,1
19/09/18,62.59,50,1
20/09/18,34.82,50,0
21/09/18,55.89,50,1
24/09/18,41.46,50,0
25/09/18,41.46,50,0
26/09/18,41.46,50,0
27/09/18,41.46,50,0
28/09/18,41.46,50,0
01/10/18,41.46,50,0
02/10/18,41.46,50,0
03/10/18,41.46,50,0
04/10/18,41.46,50,0
05/10/18,41.46,50,0
08/10/18,41.46,50,0
09/10/18,26.18,50,0
10/10/18,47.15,50,0
11/10/18,36.11,50,0
12/10/18,36.11,50,0
16/10/18,36.11,50,0
17/10/18,36.11,50,0
18/10/18,36.11,50,0
19/10/18,36.11,50,0
22/10/18,36.11,50,0
24/10/18,36.11,50,0
25/10/18,36.11,50,0
26/10/18,36.11,50,0
29/10/18,36.11,50,0
30/10/18,36.11,50,0
31/10/18,36.11,50,0
01/11/18,36.11,50,0
02/11/18,36.11,50,0
05/11/18,36.11,50,0
06/11/18,36.11,50,0
07/11/18,36.11,50,0
08/11/18,36.11,50,0
09/11/18,36.11,50,0
12/11/18,36.11,50,0
13/11/18,36.11,50,0
14/11/18,36.11,50,0
15/11/18,36.11,50,0
16/11/18,36.11,50,0
19/11/18,36.11,50,0
20/11/18,36.11,50,0
21/11/18,36.11,50,0
22/11/18,36.11,50,0
23/11/18,36.11,50,0
26/11/18,36.11,50,0
27/11/18,36.11,50,0
28/11/18,36.11,50,0
29/11/18,36.11,50,0
30/11/18,36.11,50,0
03/12/18,36.11,50,0
04/12/18,36.11,50,0
06/12/18,36.11,50,0
07/12/18,36.11,50,0
11/12/18,36.11,50,0
12/12/18,36.11,50,0
13/12/18,36.11,50,0
14/12/18,36.11,50,0
17/12/18,36.11,50,0
18/12/18,36.11,50,0
19/12/18,36.11,50,0
20/12/18,36.11,50,0
21/12/18,36.11,50,0
24/12/18,36.11,50,0
25/12/18,3.67,50,0
26/12/18,3.67,50,0
27/12/18,3.67,50,0
28/12/18,3.67,50,0
02/01/19,3.67,50,0
03/01/19,3.67,50,0
04/01/19,3.67,50,0
07/01/19,3.67,50,0
08/01/19,3.67,50,0
09/01/19,3.67,50,0
10/01/19,3.67,50,0
11/01/19,3.67,50,0
14/01/19,3.67,50,0
15/01/19,3.67,50,0
16/01/19,3.67,50,0
17/01/19,3.67,50,0
18/01/19,3.67,50,0
21/01/19,3.67,50,0
22/01/19,3.67,50,0
23/01/19,3.67,50,0
24/01/19,80.56,50,1
25/01/19,80.56,50,1
28/01/19,80.56,50,1
29/01/19,80.56,50,1
30/01/19,80.56,50,1
31/01/19,80.56,50,1
01/02/19,80.56,50,1
04/02/19,80.56,50,1
05/02/19,80.56,50,1
06/02/19,80.56,50,1
07/02/19,80.56,50,1
08/02/19,80.56,50,1
11/02/19,80.56,50,1
12/02/19,80.56,50,1
13/02/19,80.56,50,1
14/02/19,80.56,50,1
15/02/19,80.56,50,1
18/02/19,80.56,50,1
20/02/19,80.56,50,1
21/02/19,80.56,50,1
22/02/19,80.56,50,1
25/02/19,80.56,50,1
26/02/19,80.56,50,1
27/02/19,80.56,50,1
28/02/19,80.56,50,1
01/03/19,80.56,50,1
04/03/19,80.56,50,1
05/03/19,80.56,50,1
06/03/19,10.95,50,0
07/03/19,10.95,50,0
08/03/19,10.95,50,0
11/03/19,10.95,50,0
12/03/19,10.95,50,0
13/03/19,10.95,50,0
14/03/19,62.07,50,1
15/03/19,38.36,50,0
18/03/19,38.36,50,0
19/03/19,38.36,50,0
20/03/19,38.36,50,0
21/03/19,38.36,50,0
22/03/19,38.36,50,0
25/03/19,38.36,50,0
26/03/19,38.36,50,0
27/03/19,38.36,50,0
28/03/19,38.36,50,0
29/03/19,38.36,50,0
01/04/19,38.36,50,0
02/04/19,38.36,50,0
03/04/19,38.36,50,0
04/04/19,38.36,50,0
05/04/19,38.36,50,0
09/04/19,38.36,50,0
10/04/19,38.36,50,0
11/04/19,38.36,50,0
